Event Title,Appearances
b'My Dream',"b'Caster, El Condor Pasa, Elderly Storekeeper, Monologue, Silence Suzuka, Special Week, Tazuna Hayakawa'"
"b'""We\'re Friends, Aren\'t We?""'","b""El Condor Pasa, Monologue, Seiun Sky, Spe's Classmate, Special Week"""
b'Waver Does the Doubtful Heart',"b'El Condor Pasa, Grass Wonder, Monologue, Silence Suzuka, Special Week'"
"b'""We Are Friends!""'","b""Caster, El Condor Pasa, Grass & El, Grass Wonder, Spe's Classmate, Special Week, The Three"""
b'A Home Away from Home',"b'Monologue, Mother, Special Week, Young Boy'"
b'The Future Is Bright',"b'Elderly Storekeeper, Monologue, Special Week'"
b'Food for Thought',"b'Monologue, Special Week'"
b'Introducing Special Week!',"b'King Halo, Monologue, Seiun Sky, Special Week, Umamusume A, Umamusume B'"
b'Before the Debut',"b'Monologue, Special Week'"
b'After the Debut: Aiming for #1 in Japan!',b'Special Week'
"b""New Year's Resolutions""","b'Monologue, Special Week'"
b'Before the Kisaragi Sho',b'Special Week'
b'After the Kisaragi Sho: Next Up...',b'Special Week'
b'Derby Trainer',"b'Monologue, Seiun Sky, Special Week, Symboli Rudolf'"
b'Derby Press Conference!',"b'Monologue, Reporter A, Reporter B, Special Week'"
b'Before the Japanese Derby',b'Special Week'
b'After the Japanese Derby: Good News',"b'Monologue, Special Week'"
b'After the Japanese Derby: Lessons Learned',b'Special Week'
b'A Rival Named...',"b'El Condor Pasa, Grass Wonder, Monologue, Seiun Sky, Special Week'"
b'Summer Camp (Year 2) Begins!',"b'Monologue, Special Week'"
b'At Summer Camp (Year 2)',"b'Seiun Sky, Special Week'"
b'Summer Camp (Year 2) Ends',b'Special Week'
b'Before the Kikuka Sho',b'Special Week'
b'After the Kikuka Sho: Rivalry Reignited',"b'Seiun Sky, Special Week'"
b'After the Kikuka Sho: Keep Your Head Up!',b'Special Week'
"b""New Year's Shrine Visit""","b'Monologue, Special Week'"
b'Raffle Time!',"b'Lottery Clerk, Monologue, Special Week'"
"b""Valentine's Day""",b'Special Week'
b'Fan Fest',"b'Girl, Monologue, Special Week'"
b'Before the Tenno Sho (Spring)',"b'Seiun Sky, Special Week'"
"b'After the Tenno Sho (Spring): Again, Someday'","b'Seiun Sky, Special Week'"
b'After the Tenno Sho (Spring): Learning By Example',"b'Monologue, Special Week'"
b'Bird and the Beast',"b'El Condor Pasa, Grass Wonder, Monologue, Special Week, Umamusume A, Umamusume B, Umamusume C, Umamusume D, Young Umamusume A, Young Umamusume B'"
b'Summer Camp (Year 3) Begins!',"b'Monologue, Special Week'"
b'Summer Camp (Year 3) Ends',b'Special Week'
b'Before the Japan Cup',b'Special Week'
b'After the Japan Cup: To the Top!',"b'El Condor Pasa, Grass Wonder, Monologue, Special Week'"
b'After the Japan Cup: Long Way to Go',"b'Grass Wonder, Monologue, Special Week'"
b'Fire in Your Eyes',"b'Caster, Monologue, Special Week'"
b'Holiday Season',b'Special Week'
b'Before the Arima Kinen',"b'Grass Wonder, Special Week'"
b'After the Arima Kinen: Pride of Japan',"b'Grass Wonder, Monologue, Special Week'"
b'Hot Spring Getaway',b'Special Week'
b'Ending (Normal)',"b'Monologue, Special Week'"
"b""I'm Home!""","b'El Condor Pasa, Grass Wonder, King Halo, Monologue, Seiun Sky, Special Week'"
b'Rivals in Arms',"b""???, El Condor Pasa, El, Grass, and Sky, Grass Wonder, Monologue, Seiun Sky, Spe's Mother, Special Week"""
b'Ready for a Challenge',b'Special Week'
b'Not This Time!',b'Special Week'
b'Claw Machine!',"b'Monologue, Special Week'"
